Время между поступлениями	Длина очереди (Anylogic)	Загрузка прибора 1(Anylogic)	Загрузка прибора 2(Anylogic)		Длина очереди (Anylogic)	Загрузка прибора 1(Anylogic)	Загрузка прибора 2(Anylogic)
100	898,935	0,614	0,609	100	879,948	0,612	0,611
	892,422	0,613	0,611		892,422	0,611	0,61
	892,987	0,613	0,611		892,987	0,611	0,61
	888,446	0,613	0,611		888,446	0,611	0,61
200	4,871	0,497	0,51	50	2,113	0,511	0,498
	4,875	0,492	0,497		2,159	0,509	0,495
	4,755	0,492	0,495		2,16	0,51	0,496
	4,896	0,498	0,501		2,172	0,52	0,497
300	0,944	0,341	0,338	10	0,029	0,108	0,109
	0,953	0,34	0,339		0,028	0,107	0,108
	0,946	0,34	0,339		0,03	0,108	0,109
	0,954	0,34	0,339		0,029	0,108	0,109
							
							
							
							
	Длина очереди (GPSS)	Загрузка прибора 1(GPSS)	Загрузка прибора 2(GPSS)				
100	909,829	0,657	0,657				
	913,914	0,578	0,578				
	917,51	0,562	0,562				
	920,854	0,556	0,556				
200	17,305	0,514	0,514				
	16,244	0,513	0,513				
	17,135	0,514	0,514				
	16,984	0,513	0,513				
300	0,967	0,337	0,337				
	0,949	0,332	0,332				
	0,937	0,335	0,335				
	0,948	0,336	0,336				
							
0,95							
	3,60826	0,00058	0,00115				
	0,06816	0,00289	0,00814				
	0,00473	0,00058	0,00058				
	8,96341	0,00143	0,00287				
	0,16931	0,00717	0,02023				
	0,01174	0,00143	0,00143				
							
							
							
							
							
	3,84309	0,05086	0,05086				
	0,56987	0,00058	0,00058				
	0,01510	0,00252	0,00252				
	9,54677	0,12635	0,12635				
	1,41563	0,00143	0,00143				
	0,03751	0,00625	0,00625				
							
	Длина очереди (GPSS)	Загрузка прибора 1(GPSS)	Загрузка прибора 2(GPSS)				
100	909,829	0,657	0,657				
	913,914	0,596	0,588				
	917,51	0,597	0,597				
	920,854	0,554	0,554				
50	21,133	0,511	0,511				
	18,514	0,513	0,513				
	19,641	0,512	0,512				
	17,485	0,511	0,511				
10	0,014	0,099	0,099				
	0,012	0,101	0,101				
	0,012	0,102	0,102				
	0,013	0,1	0,1				
							
							
	7,37038	0,00058	0,00058				
	0,02685	0,00100	0,00153				
	0,00100	0,00058	0,00058				
	18,30905	0,00143	0,00143				
	0,06670	0,00248	0,00379				
	0,00248	0,00143	0,00143				
							
							
							
							
							
	3,84309	0,03493	0,03751				
	1,31373	0,00100	0,00100				
	0,00115	0,00153	0,00153				
	9,54677	0,08678	0,09318				
	3,26349	0,00248	0,00248				
	0,00287	0,00379	0,00379				
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
	Доверительные интервалы						
	Длина очереди (Anylogic)	Загрузка прибора 1(Anylogic)	Загрузка прибора 2(Anylogic)				
100	19,76092	0,00143	0,00287				
200	0,59952	0,00717	0,02023				
300	0,01174	0,00143	0,00143				
							
							
	Доверительные интервалы						
	Длина очереди (GPSS)	Загрузка прибора 1(GPSS)	Загрузка прибора 2(GPSS)				
100	9,54677	0,12635	0,12635				
200	1,41563	0,00143	0,00143				
300	0,03751	0,00625	0,00625				
							
	Доверительные интервалы						
	Длина очереди (Anylogic)	Загрузка прибора 1(Anylogic)	Загрузка прибора 2(Anylogic)				
100	18,30905	0,00143	0,00143				
50	0,06670	0,00248	0,00379				
10	0,00248	0,00143	0,00143				
							
							
	Доверительные интервалы						
	Длина очереди (GPSS)	Загрузка прибора 1(GPSS)	Загрузка прибора 2(GPSS)				
100	9,54677	0,08678	0,09318				
50	3,26349	0,00248	0,00248				
10	0,00287	0,00379	0,00379				
