"Fn = 0.2"
#An	An/As	SNRout
110	55	90.13
160	80	61.965
200	100	49.543
250	125	39.6603
300	150	33.0523
350	175	28.333
400	200	24.7939
450	225	22.0417
500	250	19.8403


"Fn = 0.5"
#An	An/As	SNRout
110	55	16.1602
160	80	11.1305
200	100	8.9212
250	125	7.1575
300	150	5.985
350	175	5.1505
400	200	4.527
450	225	4.0443
500	250	3.66


"Fn = 1.0"
#An	An/As	SNRout
110	55	4.107
160	80	2.8865
200	100	2.3622
250	125	1.9542
300	150	1.6914
350	175	1.5104
400	200	1.3796
450	225	1.2816
500	250	1.2059


"Fn = 1.5"
#An	An/As	SNRout
110	55	1.9939
160	80	1.5027
200	100	1.302
250	125	1.152
300	150	1.0589
350	175	0.9963
400	200	0.9519
450	225	0.9188
500	250	0.8934

